Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
Comp.1,T of solv.1,hydrophilic_section,Area_Sphere_Substance,35056.5792859219,0.654052693332999,143.877989104186,513.625988893187,-3.10207046954304,10740.5880056306,865.688473334527
T of comp.1,T of solv.1,Area_Sphere_Substance,-,36420.082391903,0.640597295323426,179.318224472776,1.93841015159944,-4.8479009397572,585.61886651363,0
T of comp.1,T of solv.1,hydrophilic_section,Area_Sphere_Substance,37126.0999801452,0.633630132865279,163.370864289118,2.79103036282474,-3.37669321575111,317.568279599423,622.244490517479
T of comp.1,T of solv.1,hydrophilic,Area_Sphere_Substance,37223.2928785248,0.632671008441092,165.702615973592,2.88651696994442,-3.45426495893047,-0.0191915223157388,611.997969309364
Comp.1,T of comp.1,T of solv.1,Area_Sphere_Substance,37247.6109807393,0.632431031177602,165.509836298213,-15.0003301940209,2.88078402518144,-3.44771888449736,612.724991324726
T of comp.1,T of solv.1,hydrophbic_section,Area_Sphere_Substance,37441.4657917384,0.630518022232758,161.148164536939,2.70367973813374,-3.31380766818319,1297.7705844642,631.139745341144
T of solv.1,Area_Sphere_Substance,-,-,37681.8972129047,0.628145383364824,182.030191037462,-4.75855713874098,625.251539539053,0,0
Comp.1,T of solv.1,hydrophilic,Area_Sphere_Substance,38499.1743426263,0.620080283244195,173.670418583928,82.8618647727487,-3.68576650897272,-0.120801417240104,657.144961157829
T of solv.1,hydrophilic_section,Area_Sphere_Substance,-,38518.0862930601,0.619893655271653,169.873976078672,-3.51405188383786,261.644357619696,669.790123041713,0
T of solv.1,hydrophilic_section,hydrophbic_section,Area_Sphere_Substance,38542.7993906641,0.619649780092452,169.56325070499,-3.50197934066882,228.242099048216,141.365005784255,670.76712956195
T of solv.1,hydrophilic,Area_Sphere_Substance,-,38578.1799595876,0.619300635573029,172.40361873503,-3.63263538981774,-0.0150334791961101,661.10034339029,0
