Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
mean_particle_size_(mps),-,-,-,0.0355734235724675,0.00261746161364895,0.125869423424035,0.000957511991834299,0,0,0
mean_particle_size_(mps),hydrophilic,-,-,0.0430517872760944,-0.207055620835253,0.117853659829599,0.000980393413984722,2.62117889555827E-05,0,0
hydrophilic_section,mean_particle_size_(mps),-,-,0.0435610071740483,-0.221332768869192,0.117513216630527,-0.455182073022388,0.000976777256938111,0,0
mean_particle_size_(mps),hydrophbic_section,-,-,0.0453908389797575,-0.272636301335796,0.112790162444564,0.000968955542800929,-1.97668743209169,0,0
hydrophilic_section,mean_particle_size_(mps),hydrophilic,-,0.0466374486202083,-0.307587862436933,0.17955315319018,-16.6698510081287,0.000768314793469215,-0.00102496509849124,0
hydrophilic_section,mean_particle_size_(mps),hydrophbic_section,-,0.0495421593320319,-0.389028090902287,0.126457287427339,1.28913828048025,0.000944811152698922,-7.23081483297952,0
hydrophilic_section,mean_particle_size_(mps),hydrophbic_section,hydrophilic,0.0551855214658445,-0.547252694688013,0.206188807839608,-15.0186718280708,0.000743383513554971,-6.13641958967236,-0.0010141643775213
mean_particle_size_(mps),hydrophbic_section,hydrophilic,-,0.0575820809519453,-0.614445737797056,0.173072426086444,0.000871535501467482,-14.541273769151,-0.000194926215250746,0
hydrophilic,-,-,-,0.0577887564602957,-0.620240359805279,0.216842968898524,1.62413728303656E-05,0,0,0
hydrophilic_section,-,-,-,0.0610783417348244,-0.712471429571842,0.224296648047816,-0.333912597514053,0,0,0
hydrophbic_section,-,-,-,0.0673482963837832,-0.888263991977498,0.237292568306293,-1.69767832327786,0,0,0
hydrophilic_section,hydrophbic_section,-,-,0.104010593158987,-1.91617558857254,0.29788002322875,4.20977466266244,-18.8781162259424,0,0
hydrophilic_section,hydrophilic,-,-,0.114987955180527,-2.22395111587104,0.317352023598468,-26.508424597582,-0.00165191210299621,0,0
hydrophbic_section,hydrophilic,-,-,0.142455330177479,-2.99406198646132,0.356180350023082,-28.8518751070593,-0.000420330092271336,0,0
hydrophilic_section,hydrophbic_section,hydrophilic,-,0.144404050002161,-3.04869881727929,0.365350000002989,-22.2413207312449,-13.2888182091243,-0.0015844661853226,0
