Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
T of comp.1,T of solv.1,hydrophilic,-,59171.2727133076,0.43350311155335,233.929368826154,7.6353013628865,-9.04890916342921,-0.00788394159176242,0
TPSA_C,Comp.1,T of comp.1,T of solv.1,59243.4166666667,0.432812416166483,234.083333333333,-0.0942081512321869,-0.00150749121877647,7.61403508771931,-9.07017543859648
PEOE_VSA6_C,T of comp.1,T of solv.1,-,59243.4166666667,0.432812416166483,234.083333333333,0.212634041370349,7.6140350877193,-9.07017543859649,0
TPSA_C,T of comp.1,T of solv.1,-,59243.4166666667,0.432812416166483,234.083333333333,-0.0942322736647464,7.61403508771929,-9.07017543859649,0
Comp.1,T of comp.1,T of solv.1,-,59243.4166666667,0.432812416166483,234.083333333333,-5.88888888888889,7.61403508771929,-9.07017543859649,0
PEOE_VSA6_C,Comp.1,T of comp.1,T of solv.1,59243.4166666667,0.432812416166483,234.083333333333,0.212357177802121,-0.0076677223466125,7.61403508771928,-9.0701754385965
TPSA_C,PEOE_VSA6_C,T of comp.1,T of solv.1,59243.4166666667,0.432812416166482,234.083333333333,-0.0787634144227781,0.0349053029083291,7.6140350877193,-9.07017543859649
T of comp.1,T of solv.1,hydrophilic_section,-,59986.5910118075,0.425697376472551,235.345134512654,7.44701547417578,-9.23719505214,80.2097422240295,0
T of comp.1,T of solv.1,hydrophbic_section,-,61460.3752057517,0.411587587687773,237.879575800843,7.20150788308761,-9.48270264322818,58.0342157154157,0
T of comp.1,T of solv.1,-,-,61857.3472222222,0.407787037153386,238.5,7.14912280701754,-9.53508771929825,0,0
T of comp.1,T of solv.1,hydrophilic,Conc of comp.1,70891.8881202642,0.321291697901815,233.751934522852,12.5089935634935,-4.17521696326041,-0.00819000034250994,1537359.18981361
PEOE_VSA6_C,T of comp.1,T of solv.1,Conc of comp.1,71033.0694439497,0.319940049088004,234.083333332311,0.212634041348224,12.4649122806159,-4.21929824601189,1536111.11111111
Comp.1,T of comp.1,T of solv.1,Conc of comp.1,71033.0694444213,0.319940049083489,234.083333333484,-5.88888888827615,12.4649122804924,-4.21929824588841,1536111.11111111
TPSA_C,T of comp.1,T of solv.1,Conc of comp.1,71033.0694466219,0.319940049062421,234.083333338958,-0.0942322736549417,12.4649122799162,-4.21929824531218,1536111.11111111
T of comp.1,T of solv.1,hydrophilic_section,Conc of comp.1,71469.8198814113,0.315758665918362,234.66659202479,12.372674173421,-4.31153635289477,97.4611015158651,1539503.02789842
Comp.1,T of comp.1,T of solv.1,hydrophilic,72173.1117076309,0.309025455477652,247.205654004385,1437.80021348161,7.41678695546811,-9.26742357084774,-1.8450438220328
TPSA_C,T of comp.1,T of solv.1,hydrophilic,72173.1117076379,0.309025455477584,247.205654004396,23.0072575231749,7.41678695546815,-9.26742357084773,-1.8450438220328
PEOE_VSA6_C,T of comp.1,T of solv.1,hydrophilic,72173.1117076385,0.309025455477579,247.205654004396,-51.9156118996548,7.4167869554682,-9.26742357084774,-1.8450438220328
Comp.1,T of comp.1,T of solv.1,hydrophilic_section,72348.9270240306,0.307342226013174,259.331157375796,-632.86751822841,10.3273441496924,-6.35686637662306,-12597.198611809
PEOE_VSA6_C,T of comp.1,T of solv.1,hydrophilic_section,72348.9270240353,0.307342226013129,259.331157375891,22.8513698580396,10.3273441496398,-6.356866376678,-12597.198611809
TPSA_C,T of comp.1,T of solv.1,hydrophilic_section,72348.9270240441,0.307342226013044,259.331157375913,-10.1269605007725,10.3273441496375,-6.35686637667533,-12597.198611809
T of comp.1,T of solv.1,Conc of comp.1,-,73646.9999979293,0.294914670089995,238.499999995864,11.9999999996614,-4.68421052752515,1536111.11111111,0
T of comp.1,T of solv.1,hydrophbic_section,Conc of comp.1,74170.4914757882,0.289902841211947,239.265787481974,11.9388349239517,-4.74537560236412,-71.6314353653857,1537217.43216649
T of comp.1,T of solv.1,hydrophilic_section,hydrophbic_section,75331.2549357133,0.278789865977222,250.773425185142,7.31405986761992,-9.37015065869587,3057.41030231268,-12396.7641210146
T of comp.1,hydrophilic,-,-,76219.2836978184,0.270288011825444,255.581076554183,9.89442882466496,-0.0261675984710339,0,0
TPSA_C,T of comp.1,-,-,76234.40625,0.270143230779449,255.625,-0.324034563686793,9.88157894736842,0,0
PEOE_VSA6_C,T of comp.1,-,-,76234.40625,0.270143230779449,255.625,0.731180264900869,9.88157894736842,0,0
Comp.1,T of comp.1,-,-,76234.40625,0.270143230779449,255.625,-20.25,9.88157894736842,0,0
TPSA_C,PEOE_VSA6_C,T of comp.1,-,76234.40625,0.270143230779449,255.625,-0.270842118463227,0.120028140661211,9.88157894736842,0
TPSA_C,Comp.1,T of comp.1,-,76234.40625,0.270143230779449,255.625,-0.323951614378604,-0.00518377876645726,9.88157894736842,0
PEOE_VSA6_C,Comp.1,T of comp.1,-,76234.40625,0.270143230779449,255.625,0.730228219895034,-0.0263668376918975,9.88157894736843,0
TPSA_C,PEOE_VSA6_C,Comp.1,T of comp.1,76234.40625,0.270143230779449,255.625,-0.270784164819305,0.12000245755046,-0.00433300882471353,9.88157894736842
T of solv.1,-,-,-,76770.137755102,0.265014217716749,267.607142857143,-10.5563909774436,0,0,0
T of solv.1,-,-,-,76770.137755102,0.265014217716749,267.607142857143,-10.5563909774436,0,0,0
T of comp.1,hydrophilic_section,-,-,76877.1446668782,0.263989749595923,257.665799987918,9.66034624025556,360.960637173401,0,0
T of comp.1,hydrophbic_section,-,-,77421.8869611871,0.258774468589099,259.422245855034,9.47528679962887,1245.96040312929,0,0
T of comp.1,T of solv.1,hydrophilic,hydrophilic_section,78644.497574905,0.247069377981892,269.841940177963,10.6759051571491,-6.00830536916729,-0.936490083384694,-14600.1199053514
T of comp.1,hydrophilic,Conc of comp.1,-,79043.6066779563,0.243248367301173,241.700291828491,14.1820802842348,-0.0149805715644347,1802507.75648843,0
Comp.1,T of comp.1,Conc of comp.1,-,79190.2949955064,0.241843995354228,242.09999998965,-11.2333333416444,14.152631579814,1803333.33333333,0
PEOE_VSA6_C,T of comp.1,Conc of comp.1,-,79190.2949993611,0.241843995317324,242.099999998092,0.405609463837142,14.1526315792808,1803333.33333333,0
PEOE_VSA6_C,Comp.1,T of comp.1,Conc of comp.1,79190.2949993611,0.241843995317323,242.099999998092,0.405081333521127,-0.0146265420617433,14.1526315792808,1803333.33333333
TPSA_C,T of comp.1,Conc of comp.1,-,79190.2949993651,0.241843995317285,242.099999998101,-0.17975250694085,14.1526315792803,1803333.33333333,0
TPSA_C,Comp.1,T of comp.1,Conc of comp.1,79190.2949993652,0.241843995317285,242.099999998101,-0.179706492262889,-0.0028756106079979,14.1526315792802,1803333.33333333
TPSA_C,PEOE_VSA6_C,T of comp.1,Conc of comp.1,79190.2949993653,0.241843995317284,242.099999998102,-0.15024492827251,0.0665835117766953,14.1526315792802,1803333.33333333
T of solv.1,hydrophilic,-,-,79493.8386870057,0.238937913587572,270.086430481791,-10.9551189259898,0.0075434682504164,0,0
Comp.1,T of comp.1,hydrophilic_section,Conc of comp.1,79599.3054206313,0.237928190901312,257.866408695441,-445.095297601583,14.7058389015942,-8740.58081191845,1440742.75968741
TPSA_C,T of comp.1,hydrophilic_section,Conc of comp.1,79599.3054207993,0.237928190899703,257.866408695984,-7.12228447196708,14.7058389014992,-8740.58081191846,1440742.75968741
PEOE_VSA6_C,T of comp.1,hydrophilic_section,Conc of comp.1,79599.3054208009,0.237928190899688,257.866408695988,16.0713529682156,14.7058389014988,-8740.58081191845,1440742.75968741
TPSA_C,T of solv.1,-,-,79686.625,0.237092206347582,270.25,0.0986771922338383,-10.9736842105263,0,0
Comp.1,T of solv.1,-,-,79686.625,0.237092206347582,270.25,6.16666666666667,-10.9736842105263,0,0
TPSA_C,PEOE_VSA6_C,Comp.1,T of solv.1,79686.625,0.237092206347582,270.25,0.0824610213852983,-0.0365439582664057,0.00131951709065576,-10.9736842105263
TPSA_C,PEOE_VSA6_C,T of solv.1,-,79686.625,0.237092206347582,270.25,0.0824786698200727,-0.036551779460626,-10.9736842105263,0
TPSA_C,Comp.1,T of solv.1,-,79686.625,0.237092206347582,270.25,0.098651931950686,0.00157859929513826,-10.9736842105263,0
PEOE_VSA6_C,Comp.1,T of solv.1,-,79686.625,0.237092206347582,270.25,-0.222374025811656,0.00802940736296698,-10.9736842105263,0
PEOE_VSA6_C,T of solv.1,-,-,79686.625,0.237092206347582,270.25,-0.222663948982158,-10.9736842105263,0,0
T of comp.1,hydrophilic_section,Conc of comp.1,-,79805.4147615798,0.235954930990327,242.810560093404,14.0828665314401,204.558153798998,1817816.61308235,0
T of solv.1,hydrophilic_section,-,-,80397.186079628,0.230289401165229,271.145234456393,-11.0215796376584,-146.131289580024,0,0
PEOE_VSA6_S,T of comp.1,T of solv.1,-,81060.4722222223,0.22393919913814,269.75,-114.419915377593,10.4385964912281,-6.24561403508773,0
TPSA_C,PEOE_VSA6_C,T of comp.1,hydrophilic,82042.5599795978,0.214536838275795,267.991027596198,17.2944979577897,-7.66434129714147,9.74697436882224,-1.67877446699287
