Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
T of comp.1,T of solv.1,-,-,75157.4360922231,0.258327163639061,264.706241394048,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,-,84341.7809556897,0.167693695293417,273.092190202083,0,0,0,0
T of solv.1,-,-,-,84474.2785065832,0.166386175512387,284.283216414881,0,0,0,0
T of solv.1,-,-,-,84474.2785065832,0.166386175512387,284.283216414881,0,0,0,0
Comp.1,T of solv.1,Conc of comp.1,-,88197.0612105373,0.12964880193023,289.517239961111,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
T of comp.1,-,-,-,88720.1110457582,0.124487212139296,285.423475534722,0,0,0,0
Comp.1,T of comp.1,Conc of comp.1,-,89952.9275130807,0.112321463364823,283.715164244444,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,hydrophbic_section,90599.9976256418,0.105936009700348,285.622114897222,0,0,0,0
T of comp.1,T of solv.1,hydrophilic_section,hydrophbic_section,90599.9976256418,0.105936009700348,285.622114897222,0,0,0,0
Comp.1,T of comp.1,-,-,90686.0370245989,0.105086950866236,288.223319922222,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,hydrophilic_section,91075.5772970407,0.101242867648919,287.280564501389,0,0,0,0
T of comp.1,hydrophilic,hydrophilic_section,Conc of comp.1,92873.8292975273,0.0834972561560514,277.322865338889,0,0,0,0
T of comp.1,hydrophilic,hydrophbic_section,Conc of comp.1,92873.8292975273,0.0834972561560514,277.322865338889,0,0,0,0
T of comp.1,hydrophilic_section,hydrophbic_section,Conc of comp.1,92873.8292975273,0.0834972561560514,277.322865338889,0,0,0,0
Comp.1,T of comp.1,T of solv.1,Conc of comp.1,94017.0344307147,0.072215814987235,288.558644054167,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,Conc of comp.1,94809.9870993259,0.0643907548813101,279.618131747222,0,0,0,0
T of comp.1,T of solv.1,hydrophilic_section,Conc of comp.1,94809.9870993259,0.0643907548813101,279.618131747222,0,0,0,0
T of comp.1,T of solv.1,hydrophbic_section,Conc of comp.1,94809.9870993259,0.0643907548813101,279.618131747222,0,0,0,0
T of comp.1,T of solv.1,hydrophilic_section,-,95136.7742129427,0.06116593591403,298.148766855833,0,0,0,0
Comp.1,T of comp.1,T of solv.1,-,95939.3836547183,0.0532455802962393,304.235273179167,0,0,0,0
T of comp.1,T of solv.1,Conc of comp.1,-,95998.3691598768,0.0526634962179398,289.885612679167,0,0,0,0
Comp.1,T of solv.1,-,-,97240.183315178,0.040408955953085,306.975481609722,0,0,0,0
T of comp.1,Conc of comp.1,-,-,97759.1333773374,0.0352878237731744,281.788270554167,0,0,0,0
T of comp.1,hydrophilic,Conc of comp.1,-,97759.1333773374,0.0352878237731744,281.788270554167,0,0,0,0
T of comp.1,hydrophilic_section,Conc of comp.1,-,97759.1333773374,0.0352878237731744,281.788270554167,0,0,0,0
T of comp.1,hydrophbic_section,Conc of comp.1,-,97759.1333773374,0.0352878237731744,281.788270554167,0,0,0,0
T of solv.1,Conc of comp.1,-,-,98337.8798582289,0.0295766052120456,299.194497704167,0,0,0,0
T of comp.1,hydrophilic,hydrophilic_section,hydrophbic_section,99120.2712799734,0.021855766196228,298.290312661111,0,0,0,0
T of comp.1,hydrophilic,-,-,99574.5772079442,0.0173725588957514,299.948762265278,0,0,0,0
T of comp.1,hydrophilic_section,-,-,99574.5772079442,0.0173725588957514,299.948762265278,0,0,0,0
T of comp.1,hydrophbic_section,-,-,100179.902474869,0.011399054063977,302.043692927778,0,0,0,0
T of comp.1,hydrophilic,hydrophbic_section,-,100589.020427417,0.00736177328313159,298.290312661111,0,0,0,0
T of comp.1,hydrophilic_section,hydrophbic_section,-,100589.020427417,0.00736177328313159,298.290312661111,0,0,0,0
