Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
T of comp.1,T of solv.1,-,-,77009.8662840136,0.26271909274355,268.623015873016,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,-,86176.6510416667,0.174957670618473,277.034722222222,0,0,0,0
T of solv.1,-,-,-,86386.7480631141,0.172946233252598,288.164682539683,0,0,0,0
T of solv.1,-,-,-,86386.7480631141,0.172946233252598,288.164682539683,0,0,0,0
PEOE_VSA6_S,T of comp.1,T of solv.1,-,90253.0952932099,0.135930404877303,295.819444444444,0,0,0,0
TPSA_C,T of solv.1,Conc of comp.1,-,90565.0486111111,0.132943810609036,293.458333333333,0,0,0,0
Comp.1,T of solv.1,Conc of comp.1,-,90565.0486111111,0.132943810609036,293.458333333333,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
T of comp.1,-,-,-,91211.6134259259,0.126753696065677,289.402777777778,0,0,0,0
PEOE_VSA6_C,T of comp.1,Conc of comp.1,-,91450.5972222222,0.124465701050816,283.5,0,0,0,0
TPSA_C,PEOE_VSA6_C,T of comp.1,T of solv.1,92063.9690277778,0.118593371398695,296.533333333333,0,0,0,0
TPSA_C,Comp.1,T of comp.1,T of solv.1,92063.9690277778,0.118593371398695,296.533333333333,0,0,0,0
PEOE_VSA6_C,Comp.1,T of comp.1,T of solv.1,92063.9690277778,0.118593371398695,296.533333333333,0,0,0,0
TPSA_C,T of comp.1,Conc of comp.1,-,92443.6527777778,0.114958336134017,287.666666666667,0,0,0,0
Comp.1,T of comp.1,Conc of comp.1,-,92443.6527777778,0.114958336134017,287.666666666667,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,hydrophbic_section,92695.5949074074,0.112546279979752,289.513888888889,0,0,0,0
T of comp.1,T of solv.1,hydrophilic_section,hydrophbic_section,92695.5949074074,0.112546279979752,289.513888888889,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,hydrophilic_section,93174.2986111111,0.107963242532679,291.180555555556,0,0,0,0
TPSA_C,T of comp.1,-,-,93452.875,0.105296193975775,292.166666666667,0,0,0,0
PEOE_VSA6_C,T of comp.1,-,-,93452.875,0.105296193975775,292.166666666667,0,0,0,0
Comp.1,T of comp.1,-,-,93452.875,0.105296193975775,292.166666666667,0,0,0,0
PEOE_VSA6_S,T of solv.1,-,-,94220.0960648148,0.0979509345950248,302.791666666667,0,0,0,0
TPSA_C,PEOE_VSA6_C,T of comp.1,-,94415.6458333333,0.0960787704464028,293.708333333333,0,0,0,0
TPSA_C,Comp.1,T of comp.1,-,94415.6458333333,0.0960787704464028,293.708333333333,0,0,0,0
PEOE_VSA6_C,Comp.1,T of comp.1,-,94415.6458333333,0.0960787704464028,293.708333333333,0,0,0,0
TPSA_C,PEOE_VSA6_C,Comp.1,T of comp.1,94415.6458333333,0.0960787704464028,293.708333333333,0,0,0,0
T of comp.1,hydrophilic,hydrophilic_section,Conc of comp.1,95210.5277777778,0.088468689953594,281.25,0,0,0,0
T of comp.1,hydrophilic,hydrophbic_section,Conc of comp.1,95210.5277777778,0.088468689953594,281.25,0,0,0,0
T of comp.1,hydrophilic_section,hydrophbic_section,Conc of comp.1,95210.5277777778,0.088468689953594,281.25,0,0,0,0
TPSA_C,PEOE_VSA6_S,T of comp.1,T of solv.1,95211.581404321,0.0884586026911277,297.361111111111,0,0,0,0
PEOE_VSA6_C,PEOE_VSA6_S,T of comp.1,T of solv.1,95211.581404321,0.0884586026911277,297.361111111111,0,0,0,0
PEOE_VSA6_C,T of comp.1,T of solv.1,Conc of comp.1,96099.9375,0.0799536146968172,288.375,0,0,0,0
PEOE_VSA6_C,T of solv.1,Conc of comp.1,-,96374.7586111111,0.0773225186060127,307.408333333333,0,0,0,0
PEOE_VSA6_S,Comp.1,T of comp.1,T of solv.1,96702.1369598766,0.0741882474062197,300.694444444444,0,0,0,0
TPSA_C,PEOE_VSA6_C,T of comp.1,Conc of comp.1,96944.3819444444,0.0718690302640701,292.541666666667,0,0,0,0
TPSA_C,Comp.1,T of comp.1,Conc of comp.1,96944.3819444444,0.0718690302640701,292.541666666667,0,0,0,0
TPSA_C,T of comp.1,T of solv.1,Conc of comp.1,96944.3819444444,0.0718690302640701,292.541666666667,0,0,0,0
PEOE_VSA6_C,Comp.1,T of comp.1,Conc of comp.1,96944.3819444444,0.0718690302640701,292.541666666667,0,0,0,0
Comp.1,T of comp.1,T of solv.1,Conc of comp.1,96944.3819444444,0.0718690302640701,292.541666666667,0,0,0,0
T of comp.1,T of solv.1,hydrophilic,Conc of comp.1,97155.2777777778,0.069849945193033,283.5,0,0,0,0
T of comp.1,T of solv.1,hydrophilic_section,Conc of comp.1,97155.2777777778,0.069849945193033,283.5,0,0,0,0
T of comp.1,T of solv.1,hydrophbic_section,Conc of comp.1,97155.2777777778,0.069849945193033,283.5,0,0,0,0
T of comp.1,T of solv.1,hydrophilic_section,-,97189.3308333333,0.0695239263475743,302.047222222222,0,0,0,0
T of comp.1,T of solv.1,Conc of comp.1,-,97847.1388888889,0.0632261707040057,293.75,0,0,0,0
TPSA_C,T of comp.1,T of solv.1,-,98180.7538271605,0.0600321913318556,308.144444444444,0,0,0,0
