Comp,Solvent,T of comp,T of solv,Conc of comp,Polar_dispersity,VSA_EState2_C,Estate_VSA8_C,   Estate_VSA8_S,SlogP_VSA4_C,SlogP_VSA4_S,NumAliphaticHeterocycles,NumAliphaticRings,EState_VSA2,NOCount,FpDensityMorgan1,EState_VSA10,fr_ether,TPSA
156,1,23,23,0.0001,0.303886926,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38
156,1,23,4,0.0001,0.371057514,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38
156,1,4,23,0.0001,0.315315315,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38
156,1,23,23,0.00001,0.558823529,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38
156,2,23,23,0.0001,0.391304348,6.492710408,131.6157829,19.05647134,0,6.9237372,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38
156,2,23,23,0.00001,0.385496183,6.492710408,131.6157829,19.05647134,0,6.9237372,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38
159,1,23,23,0.0001,0,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86
159,1,23,23,0.00001,0.34751773,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86
159,2,23,23,0.0001,0.655688623,49.04302338,0,19.05647134,40.45727308,6.9237372,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86
159,2,23,23,0.00001,0.265517241,49.04302338,0,19.05647134,40.45727308,6.9237372,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86
159,1,23,4,0.0001,0.139082058,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86
159,1,4,23,0.0001,0,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86
