Comp,Solvent,T of comp,T of solv,Conc of comp,mean_particle_size_(mps),TPSA_C,PEOE_VSA6_C,PEOE_VSA6_S
156,1,23,23,0.0001,566.3637931,77.38,130.1323862,34.80281967
156,1,23,4,0.0001,538.8205962,77.38,130.1323862,34.80281967
156,1,4,23,0.0001,221.9555912,77.38,130.1323862,34.80281967
156,1,23,23,0.00001,272.2339271,77.38,130.1323862,34.80281967
156,2,23,23,0.0001,551.9319298,77.38,130.1323862,35.89528683
156,2,23,23,0.00001,262.3594615,77.38,130.1323862,35.89528683
159,1,23,23,0.0001,0,264.86,47.0475398,34.80281967
159,1,23,23,0.00001,423.3731986,264.86,47.0475398,34.80281967
159,2,23,23,0.0001,333.6622115,264.86,47.0475398,35.89528683
159,2,23,23,0.00001,290.4112237,264.86,47.0475398,35.89528683
159,1,23,4,0.0001,703.2770952,264.86,47.0475398,34.80281967
159,1,4,23,0.0001,0,264.86,47.0475398,34.80281967
