Comp,Solvent,T of comp,T of solv,Conc of comp,mean_particle_size_(mps),Comp,T of comp,T of solv,hydrophilic,hydrophilic_section,hydrophbic_section,Conc of comp
156,1,23,23,0.0001,566.3637931,156,23,23,1074.3192,0.578597351,0.549443392,0.0001
156,1,23,4,0.0001,538.8205962,156,23,4,1074.3192,0.578597351,0.549443392,0.0001
156,1,4,23,0.0001,221.9555912,156,4,23,1074.3192,0.578597351,0.549443392,0.0001
156,1,23,23,0.00001,272.2339271,156,23,23,1074.3192,0.578597351,0.549443392,0.00001
156,2,23,23,0.0001,551.9319298,156,23,23,1068.2255,0.590874574,0.55182085,0.0001
156,2,23,23,0.00001,262.3594615,156,23,23,1068.2255,0.590874574,0.55182085,0.00001
159,1,23,23,0.0001,0,159,23,23,3387.1829,0.433543786,0.509058201,0.0001
159,1,23,23,0.00001,423.3731986,159,23,23,3387.1829,0.433543786,0.509058201,0.00001
159,2,23,23,0.0001,333.6622115,159,23,23,3435.9498,0.43329201,0.516995726,0.0001
159,2,23,23,0.00001,290.4112237,159,23,23,3435.9498,0.43329201,0.516995726,0.00001
159,1,23,4,0.0001,703.2770952,159,23,4,3387.1829,0.433543786,0.509058201,0.0001
159,1,4,23,0.0001,0,159,4,23,3387.1829,0.433543786,0.509058201,0.0001
