Comp,Solvent,T of comp,T of solv,Conc of comp,Area_Sphere_Substance,hydrophilic_section,hydrophbic_section,hydrophilic
156,1,23,23,0.0001,0.4424,0.578597351,0.549443392,1074.3192
156,1,23,4,0.0001,0.4434,0.578597351,0.549443392,1074.3192
156,1,4,23,0.0001,0.1225,0.578597351,0.549443392,1074.3192
156,1,23,23,0.00001,0.3281,0.578597351,0.549443392,1074.3192
156,2,23,23,0.0001,0.451,0.590874574,0.55182085,1068.2255
156,2,23,23,0.00001,0.0391,0.590874574,0.55182085,1068.2255
159,1,23,23,0.0001,0,0.433543786,0.509058201,3387.1829
159,1,23,23,0.00001,0.4323,0.433543786,0.509058201,3387.1829
159,2,23,23,0.0001,0.2474,0.43329201,0.516995726,3435.9498
159,2,23,23,0.00001,0.2629,0.43329201,0.516995726,3435.9498
159,1,23,4,0.0001,0.2474,0.433543786,0.509058201,3387.1829
159,1,4,23,0.0001,0,0.433543786,0.509058201,3387.1829
