Comp,Solvent,T of comp,T of solv,Conc of comp,Polar_dispersity,hydrophilic_section,hydrophbic_section,Full_molecule,hydrophilic
156,1,23,23,0.0001,0.303886926,0.578597351,0.549443392,0.584598249,1074.3192
156,1,23,4,0.0001,0.371057514,0.578597351,0.549443392,0.584598249,1074.3192
156,1,4,23,0.0001,0.315315315,0.578597351,0.549443392,0.584598249,1074.3192
156,1,23,23,0.00001,0.558823529,0.578597351,0.549443392,0.584598249,1074.3192
156,2,23,23,0.0001,0.391304348,0.590874574,0.55182085,0.587235411,1068.2255
156,2,23,23,0.00001,0.385496183,0.590874574,0.55182085,0.587235411,1068.2255
159,1,23,23,0.0001,0,0.433543786,0.509058201,0.670052271,3387.1829
159,1,23,23,0.00001,0.34751773,0.433543786,0.509058201,0.670052271,3387.1829
159,2,23,23,0.0001,0.655688623,0.43329201,0.516995726,0.651589779,3435.9498
159,2,23,23,0.00001,0.265517241,0.43329201,0.516995726,0.651589779,3435.9498
159,1,23,4,0.0001,0.139082058,0.433543786,0.509058201,0.670052271,3387.1829
159,1,4,23,0.0001,0,0.433543786,0.509058201,0.670052271,3387.1829
