Comp,Solvent,T of comp,T of solv,Conc of comp,mean_particle_size_(mps),TPSA_C,PEOE_VSA6_C,PEOE_VSA6_S,Comp,T of comp,T of solv,hydrophilic,hydrophilic_section,hydrophbic_section,Conc of comp
156,Chloroform,23,23,0.0001,566,77.38,130.1323862,34.80281967,156,23,23,1074.3192,0.578597351,0.549443392,0.0001
156,Chloroform,23,4,0.0001,539,77.38,130.1323862,34.80281967,156,23,4,1074.3192,0.578597351,0.549443392,0.0001
156,Chloroform,4,23,0.0001,222,77.38,130.1323862,34.80281967,156,4,23,1074.3192,0.578597351,0.549443392,0.0001
156,Chloroform,23,23,0.00001,272,77.38,130.1323862,34.80281967,156,23,23,1074.3192,0.578597351,0.549443392,0.00001
156,Toluene,23,23,0.0001,552,77.38,130.1323862,35.89528683,156,23,23,1068.2255,0.590874574,0.55182085,0.0001
156,Toluene,23,23,0.00001,262,77.38,130.1323862,35.89528683,156,23,23,1068.2255,0.590874574,0.55182085,0.00001
159,Chloroform,23,23,0.0001,0,264.86,47.0475398,34.80281967,159,23,23,3387.1829,0.433543786,0.509058201,0.0001
159,Chloroform,23,23,0.00001,423,264.86,47.0475398,34.80281967,159,23,23,3387.1829,0.433543786,0.509058201,0.00001
159,Toluene,23,23,0.0001,334,264.86,47.0475398,35.89528683,159,23,23,3435.9498,0.43329201,0.516995726,0.0001
159,Toluene,23,23,0.00001,290,264.86,47.0475398,35.89528683,159,23,23,3435.9498,0.43329201,0.516995726,0.00001
159,Chloroform,23,4,0.0001,719,264.86,47.0475398,34.80281967,159,23,4,3387.1829,0.433543786,0.509058201,0.0001
159,Chloroform,4,23,0.0001,0,264.86,47.0475398,34.80281967,159,4,23,3387.1829,0.433543786,0.509058201,0.0001
