Comp,Solvent,T of comp,T of solv,Conc of comp,Polar_dispersity,VSA_EState2_C,Estate_VSA8_C,   Estate_VSA8_S,SlogP_VSA4_C,SlogP_VSA4_S,NumAliphaticHeterocycles,NumAliphaticRings,EState_VSA2,NOCount,FpDensityMorgan1,EState_VSA10,fr_ether,TPSA,hydrophilic_section,hydrophbic_section,Full_molecule,hydrophilic
156,Chloroform,23,23,0.0001,0.303886926,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38,0.578597351,0.549443392,0.584598249,1074.3192
156,Chloroform,23,4,0.0001,0.371057514,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38,0.578597351,0.549443392,0.584598249,1074.3192
156,Chloroform,4,23,0.0001,0.315315315,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38,0.578597351,0.549443392,0.584598249,1074.3192
156,Chloroform,23,23,0.00001,0.558823529,6.492710408,131.6157829,0,0,0,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38,0.578597351,0.549443392,0.584598249,1074.3192
156,Toluene,23,23,0.0001,0.391304348,6.492710408,131.6157829,19.05647134,0,6.9237372,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38,0.590874574,0.55182085,0.587235411,1068.2255
156,Toluene,23,23,0.00001,0.385496183,6.492710408,131.6157829,19.05647134,0,6.9237372,2,2,33.15898554,6,0.357142857,10.21305479,4,77.38,0.590874574,0.55182085,0.587235411,1068.2255
159,Chloroform,23,23,0.0001,0,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86,0.433543786,0.509058201,0.670052271,3387.1829
159,Chloroform,23,23,0.00001,0.34751773,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86,0.433543786,0.509058201,0.670052271,3387.1829
159,Toluene,23,23,0.0001,0.655688623,49.04302338,0,19.05647134,40.45727308,6.9237372,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86,0.43329201,0.516995726,0.651589779,3435.9498
159,Toluene,23,23,0.00001,0.265517241,49.04302338,0,19.05647134,40.45727308,6.9237372,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86,0.43329201,0.516995726,0.651589779,3435.9498
159,Chloroform,23,4,0.0001,0.139082058,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86,0.433543786,0.509058201,0.670052271,3387.1829
159,Chloroform,4,23,0.0001,0,49.04302338,0,0,40.45727308,0,3,3,167.8720266,22,0.287878788,40.45727308,10,264.86,0.433543786,0.509058201,0.670052271,3387.1829
